,#timestamp,fixation_x,fixation_y,fixation_duration,saccade_length,saccade_angle,saccade_velocity
23,1645106905311.521,584.1400790499999,431.32408706666666,644.5849609375,,,
24,1645106905978.104,679.3455996103896,439.1654774285714,833.14697265625,95.52789408326008,0.08217728464655424,4.342562529577303
25,1645106906833.7678,743.6243503013699,432.7071322739726,787.918212890625,64.60238395391553,-0.10013796751515221,2.869068998636416
26,1645106907643.685,,,1765.112060546875,,,
27,1645106909431.796,,,1607.985107421875,,,
28,1645106911063.78,,,1119.093994140625,,,
29,1645106912206.875,933.3523667094016,436.63009096581203,1299.116943359375,,,
30,1645106913528.996,1020.9399729818181,436.2033144181818,636.98681640625,87.58864601507123,-0.004872529212104066,3.807514927861308
31,1645106914169.99,1080.003432410959,435.503930630137,757.4189453125,59.06760006484738,-0.011840672889891601,14.74080849726527
32,1645106914949.409,1168.340946229508,434.50451704918044,655.610107421875,88.34316711069478,-0.011313097916723079,4.015598505031581
33,1645106915627.021,,,2054.160888671875,,,
34,1645106917703.182,1293.7661857,436.39760850000005,310.864990234375,,,
35,1645106918036.048,1390.7074207662342,429.0691004675324,843.89892578125,97.21784859864373,-0.07545390737814694,4.418747937237644
36,1645106918946.954,560.947513,443.97427321428574,132.994873046875,829.8937695336917,3.123631349689766,12.385165396941646
37,1645106919101.948,,,1498.549072265625,,,
38,1645106920646.089,535.9209537619048,479.3774699714286,1187.186767578125,,,
39,1645106921856.277,,,987.5849609375,,,
40,1645106922865.86,758.8576258115942,455.9127695797102,744.02880859375,,,
41,1645106923632.882,864.19817794,466.35512424,555.02001953125,105.85685945449482,0.09880668216708338,4.603840479142183
42,1645106924209.902,960.9493396923078,468.09831305769234,567.126953125,96.76686420296646,0.01801528992186472,4.398493827407567
43,1645106924798.455,1062.6140921052634,463.5431580526316,400.10986328125,101.76674958112632,-0.04477569989303558,4.749679314095024
44,1645106925220.999,1152.1817028,472.73140877142856,366.132080078125,90.03766343500581,0.10222692702531128,4.0134320321012495
45,1645106925609.131,1265.855130023256,470.1792868604652,454.371826171875,113.70207290515539,-0.022447578935180713,5.168276041143427
46,1645106926190.214,1353.3922215652174,471.6149184347827,383.56591796875,87.54886312021942,0.016398795715849263,0.6909324180128259
47,1645106926629.783,502.83496132941167,504.8198714117646,966.2080078125,851.2051584912086,3.1025734113937977,15.199296951802145
48,1645106927618.989,569.4540609195402,514.446960643678,943.35498046875,67.31110812695546,0.14351593662599654,2.9268184595330102
49,1645106928584.348,641.7014213043476,506.91256394202895,744.0361328125,72.63916447915723,-0.1039105074524374,3.3011940540856117
50,1645106929350.47,,,400.10302734375,,,
51,1645106929772.574,747.3866370000001,486.63116259090907,466.387939453125,,,
52,1645106930261.937,818.1663141842106,501.15345557894744,398.366943359375,72.25413272561978,0.20236751926110882,3.1448890362372075
53,1645106930683.414,898.1338500833332,496.7614627916667,243.447998046875,80.08805403067917,-0.05486707375699265,3.465498994386819
54,1645106930949.864,,,609.666015625,,,
55,1645106931637.87,,,620.8779296875,,,
56,1645106932304.738,948.7393699500001,503.2809153,198.9990234375,,,
57,1645106932525.739,1042.4935698750003,508.7031513541667,533.68701171875,93.91086543847848,0.057770240244401146,4.268296769152329
58,1645106933082.433,1143.384192285714,504.38867252380953,454.669921875,100.98283229340932,-0.04273788356630214,4.389206798537778
59,1645106933559.337,1228.470794238095,499.9459245714286,444.31103515625,85.2025107680009,-0.05216705042508604,3.8321015054983167
60,1645106934024.641,,,1011.140869140625,,,
61,1645106935057.77,1403.6961317083333,508.8326454583334,510.092041015625,,,
62,1645106935612.863,558.3668727999999,517.7355624666667,143.998046875,845.3761398914505,3.1310611503162002,18.78572876562673
63,1645106935779.861,478.79710140000003,546.4304602181819,588.781005859375,84.58572975164398,2.795483345770634,3.677640423984521
64,1645106936389.64,580.0227947478992,552.2426743613446,1377.176025390625,101.39241996820519,0.05735539255771908,4.828715711392892
65,1645106937788.825,658.771074425532,540.8502839787235,499.174072265625,79.56807218235663,-0.1436716690662384,3.615246133167675
66,1645106938310.995,748.3573953333334,551.0035049019608,544.001708984375,90.15984022230545,0.11285295660843962,3.9206589259232536
67,1645106938876.997,825.9802974062501,537.762381078125,688.44873046875,78.74415715683138,-0.1689564306173318,3.579240150859269
68,1645106939587.463,,,1432.246337890625,,,
69,1645106941042.705,1013.7787330547945,541.0942853150685,832.5439453125,,,
70,1645106941898.244,974.9176626551724,541.5119081379311,376.01025390625,38.86331433918834,3.130846507310311,1.690086057877578
71,1645106942284.2651,1041.2747428571429,546.5057188412699,656.745849609375,66.54472359452342,0.075115044405241,6.647169560862527
72,1645106942963.014,,,843.80224609375,,,
73,1645106943828.816,1243.614386263158,538.1869269605264,822.01513671875,,,
74,1645106944672.824,,,1109.52001953125,,,
75,1645106945849.345,1436.5531590441174,533.1032813676471,743.72607421875,,,
76,1645106946638.068,459.8807716545454,565.1991879272728,589.074951171875,977.1996211149134,3.1087419653538175,21.716961000535438
77,1645106947249.15,534.002031736842,578.7687867368421,399.14501953125,75.35313668348599,0.1810678605692675,3.424078631634775
78,1645106947671.293,640.7070790144928,580.5460924492754,843.276123046875,106.71984787339768,0.016654707771265573,4.640387440439882
79,1645106948559.299,766.9211144848484,580.1102457424242,710.81787109375,126.21478800863255,-0.003453221131653297,2.8217045186686547
80,1645106949292.1172,864.3604790434782,574.271649,487.843994140625,97.61413308281853,-0.05984874867414299,4.436956810973164
81,1645106949802.9648,962.0496193066666,584.83561468,810.23828125,98.25866626536873,0.1077199984010502,4.271435817400744
82,1645106950635.209,,,844.47998046875,,,
83,1645106951512.7102,,,533.19677734375,,,
84,1645106952067.903,1187.0330984705881,573.7457687647059,355.5869140625,,,
85,1645106952445.46,1240.114278264706,580.6308320882354,355.360107421875,53.52584184582688,0.12898802500241793,2.4363183077988078
86,1645106952822.828,1139.6739668421053,579.7704036315788,399.76416015625,100.44399681313973,-3.1330262981336463,4.564015474647457
87,1645106953244.595,1284.7607207391304,586.9744164130434,511.19091796875,145.26549472098128,0.04961239389922385,6.6020978471565765
88,1645106953777.841,1372.231443257143,575.9311979428571,366.36083984375,88.16507229058116,-0.1255860211701882,3.997477651732609
89,1645106954167.203,1415.3214302000001,578.8164006666667,161.01416015625,43.18647206583425,0.06685781838014794,1.877592977345318
90,1645106954366.218,494.0679548064516,593.7673065161291,321.64599609375,921.3747855842437,3.1253652049183978,24.246081783421108
91,1645106954709.863,477.58583463888885,619.6337004444445,378.30615234375,30.671332218747327,2.138122096531188,1.3942133525101994
92,1645106955132.168,943.6803102037037,772.8707915370369,576.60400390625,490.63801956081556,0.31763641848960894,11.151173450752143
